Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:101
c4b8a3b1-0001-0000-0000-000000000001,,,Afrikaans,,,Misc,N/A,,,_version:1,
c4b8a3b1-0002-0000-0000-000000000001,,,Albanisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0003-0000-0000-000000000001,,,Amharisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0004-0000-0000-000000000001,,,Arabisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0005-0000-0000-000000000001,,,Armenisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0006-0000-0000-000000000001,,,Aserbaidschanisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0007-0000-0000-000000000001,,,Bengalisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0008-0000-0000-000000000001,,,Bosnisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0009-0000-0000-000000000001,,,Bulgarisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0010-0000-0000-000000000001,,,Chinesisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0011-0000-0000-000000000001,,,Dari,,,Misc,N/A,,,_version:1,
c4b8a3b1-0012-0000-0000-000000000001,,,Deutsch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0013-0000-0000-000000000001,,,Englisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0014-0000-0000-000000000001,,,Estnisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0015-0000-0000-000000000001,,,Farsi,,,Misc,N/A,,,_version:1,
c4b8a3b1-0016-0000-0000-000000000001,,,Finnisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0017-0000-0000-000000000001,,,Französisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0018-0000-0000-000000000001,,,Georgisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0019-0000-0000-000000000001,,,Griechisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0020-0000-0000-000000000001,,,Hausa,,,Misc,N/A,,,_version:1,
c4b8a3b1-0021-0000-0000-000000000001,,,Hebräisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0022-0000-0000-000000000001,,,Hindi,,,Misc,N/A,,,_version:1,
c4b8a3b1-0023-0000-0000-000000000001,,,Indonesisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0024-0000-0000-000000000001,,,Italienisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0025-0000-0000-000000000001,,,Japanisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0026-0000-0000-000000000001,,,Kasachisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0027-0000-0000-000000000001,,,Katalanisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0028-0000-0000-000000000001,,,Kirgisisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0029-0000-0000-000000000001,,,Koreanisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0030-0000-0000-000000000001,,,Kroatisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0031-0000-0000-000000000001,,,Kurdisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0032-0000-0000-000000000001,,,Lettisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0033-0000-0000-000000000001,,,Litauisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0034-0000-0000-000000000001,,,Malay,,,Misc,N/A,,,_version:1,
c4b8a3b1-0035-0000-0000-000000000001,,,Mazedonisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0036-0000-0000-000000000001,,,Mongolisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0037-0000-0000-000000000001,,,Niederländisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0038-0000-0000-000000000001,,,Norwegisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0039-0000-0000-000000000001,,,Paschto,,,Misc,N/A,,,_version:1,
c4b8a3b1-0040-0000-0000-000000000001,,,Polnisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0041-0000-0000-000000000001,,,Portugiesisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0042-0000-0000-000000000001,,,Punjabi,,,Misc,N/A,,,_version:1,
c4b8a3b1-0043-0000-0000-000000000001,,,Rumänisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0044-0000-0000-000000000001,,,Russisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0045-0000-0000-000000000001,,,Schwedisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0046-0000-0000-000000000001,,,Serbisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0047-0000-0000-000000000001,,,Singhalesisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0048-0000-0000-000000000001,,,Slowakisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0049-0000-0000-000000000001,,,Slowenisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0050-0000-0000-000000000001,,,Somali,,,Misc,N/A,,,_version:1,
