uuid,Fully Specified Name:en,Short Name:en,Description:en,Concept Class,Datatype,Concept Sets,Answers
c4b8a3b0-0001-0000-0000-000000000001,Unbekannt,,Unknown nationality,Misc,N/A,Nationality Set,
c4b8a3b0-0002-0000-0000-000000000001,Afghanistan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0003-0000-0000-000000000001,Ägypten,,,Misc,N/A,Nationality Set,
c4b8a3b0-0004-0000-0000-000000000001,Albanien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0005-0000-0000-000000000001,Algerien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0006-0000-0000-000000000001,Andorra,,,Misc,N/A,Nationality Set,
c4b8a3b0-0007-0000-0000-000000000001,Angola,,,Misc,N/A,Nationality Set,
c4b8a3b0-0008-0000-0000-000000000001,Antigua und Barbuda,,,Misc,N/A,Nationality Set,
c4b8a3b0-0009-0000-0000-000000000001,Äquatorialguinea,,,Misc,N/A,Nationality Set,
c4b8a3b0-0010-0000-0000-000000000001,Argentinien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0011-0000-0000-000000000001,Armenien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0012-0000-0000-000000000001,Aserbaidschan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0013-0000-0000-000000000001,Äthiopien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0014-0000-0000-000000000001,Australien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0015-0000-0000-000000000001,Bahamas,,,Misc,N/A,Nationality Set,
c4b8a3b0-0016-0000-0000-000000000001,Bahrain,,,Misc,N/A,Nationality Set,
c4b8a3b0-0017-0000-0000-000000000001,Bangladesch,,,Misc,N/A,Nationality Set,
c4b8a3b0-0018-0000-0000-000000000001,Barbados,,,Misc,N/A,Nationality Set,
c4b8a3b0-0019-0000-0000-000000000001,Belarus,,,Misc,N/A,Nationality Set,
c4b8a3b0-0020-0000-0000-000000000001,Belgien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0021-0000-0000-000000000001,Belize,,,Misc,N/A,Nationality Set,
c4b8a3b0-0022-0000-0000-000000000001,Benin,,,Misc,N/A,Nationality Set,
c4b8a3b0-0023-0000-0000-000000000001,Bhutan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0024-0000-0000-000000000001,Bolivien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0025-0000-0000-000000000001,Bosnien und Herzegowina,,,Misc,N/A,Nationality Set,
c4b8a3b0-0026-0000-0000-000000000001,Botswana,,,Misc,N/A,Nationality Set,
c4b8a3b0-0027-0000-0000-000000000001,Brasilien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0028-0000-0000-000000000001,Brunei,,,Misc,N/A,Nationality Set,
c4b8a3b0-0029-0000-0000-000000000001,Bulgarien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0030-0000-0000-000000000001,Burkina Faso,,,Misc,N/A,Nationality Set,
c4b8a3b0-0031-0000-0000-000000000001,Burundi,,,Misc,N/A,Nationality Set,
c4b8a3b0-0032-0000-0000-000000000001,Chile,,,Misc,N/A,Nationality Set,
c4b8a3b0-0033-0000-0000-000000000001,China,,,Misc,N/A,Nationality Set,
c4b8a3b0-0034-0000-0000-000000000001,Costa Rica,,,Misc,N/A,Nationality Set,
c4b8a3b0-0035-0000-0000-000000000001,Côte d'Ivoire,,,Misc,N/A,Nationality Set,
c4b8a3b0-0036-0000-0000-000000000001,Dänemark,,,Misc,N/A,Nationality Set,
c4b8a3b0-0037-0000-0000-000000000001,Demokratische Republik Kongo,,,Misc,N/A,Nationality Set,
